ID,Title,Release Date,Popularity,Poster URL,Backdrop URL,Overview,Genres,Actors,Trailers
389,"Alice in Wonderland",1951-07-28,64.432,https://image.tmdb.org/t/p/w500/20cvfwfaFqNbe9Fc3VEHJuPRxmn.jpg,https://image.tmdb.org/t/p/w500/b4yiLlIFuiULuuLTxT0Pt1QyT6J.jpg,"On a golden afternoon, young Alice follows a White Rabbit, who disappears down a nearby rabbit hole. Quickly following him, she tumbles into the burrow - and enters the merry, topsy-turvy world of Wonderland! Memorable songs and whimsical escapades highlight Alice's journey, which culminates in a madcap encounter with the Queen of Hearts - and her army of playing cards!","Animation;Family;Fantasy;Adventure","Kathryn Beaumont;Ed Wynn;Richard Haydn;Sterling Holloway;Jerry Colonna",https://www.youtube.com/watch?v=JY2rHymtNvc
390,"The Man in the White Suit",1951-08-07,12.82,https://image.tmdb.org/t/p/w500/laTLoNZB7Ar3ZDoQmspBDVa5mbC.jpg,https://image.tmdb.org/t/p/w500/eSxcby3f435Dq5yE3kPdLLj0oi7.jpg,"The unassuming, nebbishy inventor Sidney Stratton creates a miraculous fabric that will never be dirty or worn out. Clearly he can make a fortune selling clothes made of the material, but may cause a crisis in the process. After all, once someone buys one of his suits they won't ever have to fix them or buy another one, and the clothing industry will collapse overnight. Nevertheless, Sidney is determined to put his invention on the market, forcing the clothing factory bigwigs to resort to more desperate measures...","Comedy;Science Fiction","Alec Guinness;Joan Greenwood;Cecil Parker;Michael Gough;Ernest Thesiger",https://www.youtube.com/watch?v=RC8q1QSkE3M
391,"Lost Continent",1951-08-17,10.187,https://image.tmdb.org/t/p/w500/sXI8wCc5osqLWtfKsWuqztNPhpL.jpg,https://image.tmdb.org/t/p/w500/iVvzZuBpagsgOGkaVkin9MDtCJU.jpg,"When an experimental atomic rocket crashes somewhere off-radar, its three developing scientists are joined by three Air Force men in tracking it down to a small Pacific island, where it apparently has landed on the plateau of the island's steep-walled, taboo mountain...","Science Fiction;Adventure;Fantasy","Cesar Romero;John Hoyt;Hugh Beaumont;Chick Chandler;Sid Melton",https://www.youtube.com/watch?v=SoTOAkzQk-4
392,"A Streetcar Named Desire",1951-09-19,18.432,https://image.tmdb.org/t/p/w500/aicdlO5vt7z2ARm279eGzJeYCLQ.jpg,https://image.tmdb.org/t/p/w500/uXd9qh7ZwxbfiIAb4g4wD1oCKzd.jpg,"A fading southern belle moves in with her sister in New Orleans where her ferocious brother-in-law takes stabs at her sanity.","Drama;Thriller","Vivien Leigh;Marlon Brando;Kim Hunter;Karl Malden;Rudy Bond",https://www.youtube.com/watch?v=U3CXLHLFvyM
393,"An American in Paris",1951-09-26,11.047,https://image.tmdb.org/t/p/w500/lyDXkvG53ldz6Cf7dbjJl7TaoP5.jpg,https://image.tmdb.org/t/p/w500/k6Unnx1OCgVteDDzWJLXTw05VGZ.jpg,"Jerry Mulligan is an exuberant American expatriate in Paris trying to make a reputation as a painter. His friend Adam is a struggling concert pianist who's a long time associate of a famous French singer, Henri Baurel. A lonely society woman, Milo Roberts, takes Jerry under her wing and supports him, but is interested in more than his art.","Music;Romance;Comedy","Gene Kelly;Leslie Caron;Oscar Levant;Georges Guétary;Nina Foch",https://www.youtube.com/watch?v=1XMXAleA1eQ
394,"The Day the Earth Stood Still",1951-09-28,21.237,https://image.tmdb.org/t/p/w500/x2DquTpLTq54aPFDnqlwY7apCC3.jpg,https://image.tmdb.org/t/p/w500/vDCoHNcjHdhniFZFB53ruGbv7sV.jpg,"An alien and a robot land on Earth after World War II and tell mankind to be peaceful or face destruction.","Science Fiction;Thriller","Michael Rennie;Patricia Neal;Billy Gray;Sam Jaffe;Hugh Marlowe",https://www.youtube.com/watch?v=sU_wBld7FPo
396,"Utopia",1951-10-17,16.748,https://image.tmdb.org/t/p/w500/86XVqC144ERq5AVxmSmYhF9bmRw.jpg,https://image.tmdb.org/t/p/w500/qaYIuRbwgBDgjgkYN7aTxAefnnU.jpg,"Stan and Ollie are marooned on an atoll. This was their last film together.","Comedy","Stan Laurel;Oliver Hardy;Suzy Delair;Max Elloy;Félix Oudart",https://www.youtube.com/watch?v=AyrZCcTqZIc
397,"Angels in the Outfield",1951-10-19,11.05,https://image.tmdb.org/t/p/w500/gxX5arrfeTqHTTAYmxbb3tGQUcf.jpg,https://image.tmdb.org/t/p/w500/bENQVk1ex19NBPd8iUrn5sa4vNo.jpg,"The short-tempered manager of the Pittsburgh Pirates mends his ways in return for a little divine assistance.","Comedy;Drama;Family;Fantasy","Paul Douglas;Janet Leigh;Keenan Wynn;Donna Corcoran;Lewis Stone",https://www.youtube.com/watch?v=7oiV5VAJ8VE
398,"Detective Story",1951-11-01,12.082,https://image.tmdb.org/t/p/w500/uXfkupU1a0gePncfdEV7STgsYtU.jpg,https://image.tmdb.org/t/p/w500/6BXP1XEWP31Tvm8wADiONAUs4uL.jpg,"Tells the story of one day in the lives of the various people who populate a police detective squad. An embittered cop, Det. Jim McLeod, leads a precinct of characters in their grim daily battle with the city's lowlife. The characters who pass through the precinct over the course of the day include a young petty embezzler, a pair of burglars, and a naive shoplifter.","Crime;Drama","Kirk Douglas;Eleanor Parker;William Bendix;Cathy O'Donnell;George Macready",https://www.youtube.com/watch?v=mN8cE2TSjEo
399,"Quo Vadis",1951-11-08,27.14,https://image.tmdb.org/t/p/w500/dqF1dattMNiwGjPSphu2VSi558Q.jpg,https://image.tmdb.org/t/p/w500/goyLlBUlfZwbKIJFvPbRmpkKYZ.jpg,"After fierce Roman commander Marcus Vinicius becomes infatuated with beautiful Christian hostage Lygia, he begins to question the tyrannical leadership of the despotic emperor Nero.","Drama;History;Romance","Robert Taylor;Deborah Kerr;Leo Genn;Peter Ustinov;Patricia Laffan",https://www.youtube.com/watch?v=TorZfZwuhls
